Author,Reference,Highlight,Publishing date,Year,Cell,Wafer doping,Wafer type,Wafer initial surface,Resitivity,Thickness,Junction location,Rear texture,Front texture,Protection layer,Texturing process,Protection layer removal,Cleaning,Emitter type,Sheet resistance,Emitter process,BSF Sheet resistance,BSF type,BSF process,Annealing temperature ©,Annealing time (min),Passivation front,Passivation front process,interconnection,Inter-layer,Inter-layer thicknes,Inter-layer process,Inter-layer process temperature,Annealing temperature ©,Annealing time (min),Clean before perovskite,Photolithography,Oxidation time,Oxidation temperature,Surface removal,Surface removal process,Rear passivation,Rear local contact,Rear passivation process,Rear metal,Rear electrode,Rear TCO thickness,Rear metal thickness,Rear metal order,Rear metal process,Annealing temperature,Annealing time,Surface removal,Surface removal process,Perovskite polarity,ETL,HTL,Cell isolation,Substrate area,Cell area,Cell active area,Buffer layer,Front electrode,Front metal,Front TCO,Front TCO thickness,Total front TCO thickness,Front TCO process,Front metal thickness [nm],Grid,Finger width [um],Finger spacing [mm],Front metal process,Scan direction,Bandgap,Voc tandem,Jsc tandem,FF tandem,n tandem,Jsc silicon,Jsc perovskite,Certified,Stability conditions,Stability result,Damp heat,Voc silicon,FF silicon,n silicon,Jsc silicon cell,Obs,
Geistert et al.,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202500923?af=R,Slot-die coating,07/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,p-i-n,,,,,,1.04,BCP/SnO2,,,IZO,90,90,,,,,,,Forward,,,,,24.4,,,No,,,,,,,,,
Shi et al.,https://pubs.rsc.org/en/content/articlelanding/2025/ee/d5ee00563a,Halogen anion pre-homogenisation,08/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,not clear,,,,,,,,p-i-n,,,,,,1.05,SnOx,,,IZO,40,40,,,,,,,Reverse,,,,,30.83,,,No,,,,,,,,,
Shi et al.,https://pubs.rsc.org/en/content/articlelanding/2025/ee/d5ee00563a,Halogen anion pre-homogenisation,08/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,not clear,,,,,,,,p-i-n,,,,,,1.05,SnOx,,,IZO,40,40,,,,,,,Forward,,,,,30.3,,,No,,,,,,,,,
Shi et al.,https://pubs.rsc.org/en/content/articlelanding/2025/ee/d5ee00563a,Halogen anion pre-homogenisation,08/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,not clear,,,,,,,,p-i-n,,,,,,1.05,SnOx,,,IZO,40,40,,,,,,,Tracking,,,,,30.05,,,No,,,,,,,,,
Shi et al.,https://pubs.rsc.org/en/content/articlelanding/2025/ee/d5ee00563a,Halogen anion pre-homogenisation. Encapsulated modules,08/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,not clear,,,,,,,,p-i-n,,,,,,64.64,SnOx,,,IZO,40,40,,,,,,,Not clear,,,,,27.1,,,No,,,,,,,,,
Shi et al.,https://pubs.rsc.org/en/content/articlelanding/2025/ee/d5ee00563a,Halogen anion pre-homogenisation. Encapsulated modules,08/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,not clear,,,,,,,,p-i-n,,,,,,64.64,SnOx,,,IZO,40,40,,,,,,,Reverse,,,,,26.6,,,Yes,,,,,,,,,
Guo et al.,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202504520?af=R,Bifacially-re-inforced SAMs. 4PhCz,12/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Reverse,,,,,31.26,,,No,,,,,,,,,
Guo et al.,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202504520?af=R,Bifacially-re-inforced SAMs. 4PhCz,12/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Forward,,,,,31.17,,,No,,,,,,,,,
Guo et al.,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202504520?af=R,Bifacially-re-inforced SAMs. 4PhCz,12/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,30.29,,,No,,,,,,,,,
Guo et al.,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202504520?af=R,Bifacially-re-inforced SAMs. Control. 4-PACz,12/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Reverse,,,,,27.81,,,No,,,,,,,,,
Guo et al.,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202504520?af=R,Bifacially-re-inforced SAMs. Control. 4-PACz,12/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Forward,,,,,28.14,,,No,,,,,,,,,
Guo et al.,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202504520?af=R,Bifacially-re-inforced SAMs. Control. 4-PACz,12/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,27.79,,,No,,,,,,,,,
Luo et al.,https://www.nature.com/articles/s41467-025-59896-8,PyAA-MeO HTLs,15/05/2025,2025,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Not clear,Not clear,0,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,80,80,,,,,,,Not clear,,,,,31.1,,,No,,,,,,,,,
Luo et al.,https://www.nature.com/articles/s41467-025-59896-8,PyAA-MeO HTLs,15/05/2025,2025,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Not clear,Not clear,0,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,80,80,,,,,,,Tracking,,,,,31.08,,,No,,,,,,,,,
Luo et al.,https://www.nature.com/articles/s41467-025-59896-8,PyAA-MeO HTLs,15/05/2025,2025,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Not clear,Not clear,0,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,80,80,,,,,,,Reverse,,,,,30.91,,,Yes,,,,,,,,,
Luo et al.,https://www.nature.com/articles/s41467-025-59896-8,PyAA-MeO HTLs,15/05/2025,2025,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Not clear,Not clear,0,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,80,80,,,,,,,Forward,,,,,29.64,,,Yes,,,,,,,,,
Yang et al.,https://onlinelibrary.wiley.com/doi/10.1002/solr.202500173,5C7A functional additive,16/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,not clear,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Reverse,,,,,30.59,,,No,,,,,,,,,
Yang et al.,https://onlinelibrary.wiley.com/doi/10.1002/solr.202500173,5C7A functional additive,16/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,not clear,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Forward,,,,,29.8,,,No,,,,,,,,,
Yang et al.,https://onlinelibrary.wiley.com/doi/10.1002/solr.202500173,5C7A functional additive,16/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,not clear,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,30.59,,,No,,,,,,,,,
Yang et al.,https://onlinelibrary.wiley.com/doi/10.1002/solr.202500173,5C7A functional additive - Control no additive,16/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,not clear,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Reverse,,,,,28.88,,,No,,,,,,,,,
Yang et al.,https://onlinelibrary.wiley.com/doi/10.1002/solr.202500173,5C7A functional additive - Control no additive,16/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,not clear,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Forward,,,,,26.42,,,No,,,,,,,,,
Yang et al.,https://onlinelibrary.wiley.com/doi/10.1002/solr.202500173,5C7A functional additive - Control no additive,16/05/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,not clear,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,28.88,,,No,,,,,,,,,
Noh et al.,https://www.sciencedirect.com/science/article/pii/S246860692500125X," SiNx at perov/si interface to reduce Rx, Cr/Ag/Sn to reduce Rcon",20/05/2025,2025,homojunction,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,Ag,0,,,,,,,,p-i-n,,,,,,0.25,ZnO NPs,,,IZO,100,100,,,,,,,Not clear,,,,,23.11,,,No,,,,,,,,,
Noh et al.,https://www.sciencedirect.com/science/article/pii/S246860692500125X,"Control. No SiNx, Ag only",20/05/2025,2025,homojunction,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,Ag,0,,,,,,,,p-i-n,,,,,,0.25,ZnO NPs,,,IZO,100,100,,,,,,,Not clear,,,,,21.08,,,No,,,,,,,,,
Pappenberger et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202500193,Two-step pvk solution deposition. Small textures,12/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,p-i-n,,,,,,1.04,SnO2,,,IZO,90,90,,,,,,,Reverse,,,,,26.2,,,No,,,,,,,,,
Pappenberger et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202500193,Two-step pvk solution deposition. Small textures,12/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,p-i-n,,,,,,1.04,SnO2,,,IZO,90,90,,,,,,,Forward,,,,,25.9,,,No,,,,,,,,,
Pappenberger et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202500193,Two-step pvk solution deposition. Planar,12/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,p-i-n,,,,,,1.04,SnO2,,,IZO,90,90,,,,,,,Reverse,,,,,26.6,,,No,,,,,,,,,
Pappenberger et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202500193,Two-step pvk solution deposition. Planar,12/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,p-i-n,,,,,,1.04,SnO2,,,IZO,90,90,,,,,,,Forward,,,,,26.3,,,No,,,,,,,,,
Pappenberger et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202500193,Two-step pvk solution deposition. Large-textures,12/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,p-i-n,,,,,,1.04,SnO2,,,IZO,45,45,,,,,,,Reverse,,,,,24.1,,,No,,,,,,,,,
Pappenberger et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202500193,Two-step pvk solution deposition. Large-textures,12/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,p-i-n,,,,,,1.04,SnO2,,,IZO,45,45,,,,,,,Forward,,,,,20.4,,,No,,,,,,,,,
Taddei et al.,https://pubs.acs.org/doi/full/10.1021/acsami.5c07722#fig4,"DAP additive, 150 C 1 min",17/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,12,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,25.29,,,No,,,,,,,,,
Taddei et al.,https://pubs.acs.org/doi/full/10.1021/acsami.5c07722#fig4,"DAP additive, 150 C 1 min",17/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,12,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,21.27,,,No,,,,,,,,,
Taddei et al.,https://pubs.acs.org/doi/full/10.1021/acsami.5c07722#fig4,"Control DAP, no anneal",17/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,12,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,22.72,,,No,,,,,,,,,
Taddei et al.,https://pubs.acs.org/doi/full/10.1021/acsami.5c07722#fig4,"Control DAP, no anneal",17/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,12,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,21.36,,,No,,,,,,,,,
Taddei et al.,https://pubs.acs.org/doi/full/10.1021/acsami.5c07722#fig4,"Control no DAP, no anneal",17/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,12,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,23.26,,,No,,,,,,,,,
Taddei et al.,https://pubs.acs.org/doi/full/10.1021/acsami.5c07722#fig4,"Control no DAP, no anneal",17/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,12,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,22.07,,,No,,,,,,,,,
Luo et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.5c01010,Sulfonium additive,19/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,80,,,,,,,,p-i-n,,,,,,1.21 ,SnO2,,,IZO,50,50,,,,,,,Reverse,,,,,30.49,,,No,,,,,,,,,
Luo et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.5c01010,Sulfonium additive,19/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,80,,,,,,,,p-i-n,,,,,,1.21 ,SnO2,,,IZO,50,50,,,,,,,Forward,,,,,29.9,,,No,,,,,,,,,
Luo et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.5c01010,Sulfonium additive,19/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,80,,,,,,,,p-i-n,,,,,,1.21 ,SnO2,,,IZO,50,50,,,,,,,Tracking,,,,,30.3,,,No,,,,,,,,,
Luo et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.5c01010,Sulfonium additive. Control no additive,19/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,80,,,,,,,,p-i-n,,,,,,1.21 ,SnO2,,,IZO,50,50,,,,,,,Reverse,,,,,29.05,,,No,,,,,,,,,
Luo et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.5c01010,Sulfonium additive. Control no additive,19/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,80,,,,,,,,p-i-n,,,,,,1.21 ,SnO2,,,IZO,50,50,,,,,,,Forward,,,,,28.8,,,No,,,,,,,,,
Luo et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.5c01010,Sulfonium additive,19/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,80,,,,,,,,p-i-n,,,,,,1.2129,SnO2,,,IZO,50,50,,,,,,,Reverse,,,,,29.84,,,Yes,,,,,,,,,
Luo et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.5c01010,Sulfonium additive,19/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,80,,,,,,,,p-i-n,,,,,,1.2129,SnO2,,,IZO,50,50,,,,,,,Tracking,,,,,29.55,,,Yes,,,,,,,,,
Wang et al.,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202502057?af=R,One-step deposition,22/06/2025,2025,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag/Al,Ag/Al,0,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Not clear,,,,,28.51,,,No,,,,,,,,,
Wang et al.,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202502057?af=R,One-step deposition,22/06/2025,2025,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag/Al,Ag/Al,0,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Reverse,,,,,29.68,,,No,,,,,,,,,
Wang et al.,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202502057?af=R,One-step deposition,22/06/2025,2025,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag/Al,Ag/Al,0,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,29.25,,,No,,,,,,,,,
Wang et al.,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202502057?af=R,Two-step deposition,22/06/2025,2025,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag/Al,Ag/Al,0,,,,,,,,p-i-n,,,,,,1,SnO2,,,IZO,100,100,,,,,,,Not clear,,,,,26.28,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. No washing,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Reverse,,,,,26.1,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. No washing,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Forward,,,,,25.7,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. Washing,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Reverse,,,,,26.5,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. Washing,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Forward,,,,,26.3,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. No Anneal,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Reverse,,,,,20.6,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. No Anneal,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Forward,,,,,18.6,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. No Anneal. Washed,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Reverse,,,,,26.1,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. No Anneal. Washed,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Forward,,,,,25.5,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. 100 C,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Reverse,,,,,26.1,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. 100 C,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Forward,,,,,25.9,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. 150 C,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Reverse,,,,,27.1,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. 150 C,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Forward,,,,,27,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,"Post-dep SAM treatment. 150 C, washed",23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Reverse,,,,,28.2,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,"Post-dep SAM treatment. 150 C, washed",23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Forward,,,,,28.1,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. Spin-coated SAM,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Reverse,,,,,26.3,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. Spin-coated SAM,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Forward,,,,,26.3,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. Dip-coated SAM,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Reverse,,,,,26.3,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. Dip-coated SAM,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Forward,,,,,26.2,,,No,,,,,,,,,
Landgraf et al.,https://advanced.onlinelibrary.wiley.com/doi/full/10.1002/adfm.202508186,Post-dep SAM treatment. Evaporated SAM,23/06/2025,2025,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,,,1,SnO2,,,ITO,25,25,,,,,,,Reverse,,,,,26.4,,,No,,,,,,,,,
