Author,Reference,Highlight,Publishing date,Year,Cell,Wafer doping,Wafer type,Wafer initial surface,Resitivity,Thickness,Junction location,Rear texture,Front texture,Protection layer,Texturing process,Protection layer removal,Cleaning,Emitter type,Sheet resistance,Emitter process,BSF Sheet resistance,BSF type,BSF process,Annealing temperature ©,Annealing time (min),Passivation front,Passivation front process,interconnection,Inter-layer,Inter-layer thicknes,Inter-layer process,Inter-layer process temperature,Annealing temperature ©,Annealing time (min),Clean before perovskite,Photolithography,Oxidation time,Oxidation temperature,Surface removal,Surface removal process,Rear passivation,Rear local contact,Rear passivation process,Rear metal,Rear electrode,Rear TCO thickness,Rear metal thickness,Rear metal order,Rear metal process,Annealing temperature,Annealing time,Surface removal,Surface removal process,Perovskite polarity,ETL,HTL,Cell isolation,Substrate area,Cell area,Cell active area,Buffer layer,Front electrode,Front metal,Front TCO,Front TCO thickness,Total front TCO thickness,Front TCO process,Front metal thickness [nm],Grid,Finger width [um],Finger spacing [mm],Front metal process,Scan direction,Bandgap,Voc tandem,Jsc tandem,FF tandem,n tandem,Jsc silicon,Jsc perovskite,Certified,Stability conditions,Stability result,Damp heat,Voc silicon,FF silicon,n silicon,Jsc silicon cell,Obs,
Fan et al.,https://onlinelibrary.wiley.com/doi/pdf/10.1002/solr.201700149,Full solution processed perovskite,27/10/2017,2017,heterojunction,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,,Not clear,,Not clear,Not clear,Not clear,Not clear,a-Si:H(p),Not clear,recombination,ITO,80,Not clear,Not clear,Not clear,Not clear,Not clear,,,,,,a-Si:H(i),No,Not clear,Ag,Ag,0,500,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,Laser - not clear,2.25,-,0.03,MoOx,ITO/Au,Au,ITO,120,120,,100,No,0,0,thermal evaporation,Forward,,1664,15.17,73.54,18.56,13.65,13.46,No,,,,,,,,,
Fan et al.,https://onlinelibrary.wiley.com/doi/pdf/10.1002/solr.201700149,Full solution processed perovskite,27/10/2017,2017,heterojunction,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,,Not clear,,Not clear,Not clear,Not clear,Not clear,a-Si:H(p),Not clear,recombination,ITO,80,Not clear,Not clear,Not clear,Not clear,Not clear,,,,,,a-Si:H(i),No,Not clear,Ag,Ag,0,500,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,Laser - not clear,2.25,-,0.03,MoOx,ITO/Au,Au,ITO,120,120,,100,No,0,0,thermal evaporation,Tracking,,,,,18,,,No,,,,,,,,,
Wu et al.,https://pubs.rsc.org/en/content/articlehtml/2021/xx/c7ee02288c,Homojunction with passivation and local contacts on both sides  - ARF,13/10/2017,2017,homojunction,n-type,FZ,DSP,5,350,Front,Pyramids,Planar,BSG,,HF dip,,Si(p),,diffusion,,Si(n),diffusion,930/780,45/30,AlOx/SiNx,ALD/PECVD,recombination,ITO,40,sputtering,Not clear,,,,Yes,,1050,Oxide,HF,SiNx:H,Yes,PECVD,Ag/al, Cr/Pd/Ag/Ag/Al,0,100/800,,evaporation,Not clear,Not clear,,,n-i-p,TiO2,Spiro-OMeTAD,,-,-,1,MoOx,IZO/Au,Au,IZO,40,40,,120,Yes,0,0,thermal evaporation,Reverse,,1750,17.6,72.2,22.3,17.6,17.8,No,,,,,,,,,
Wu et al.,https://pubs.rsc.org/en/content/articlehtml/2021/xx/c7ee02288c,Homojunction with passivation and local contacts on both sides  - ARF,13/10/2017,2017,homojunction,n-type,FZ,DSP,5,350,Front,Pyramids,Planar,BSG,,HF dip,,Si(p),,diffusion,,Si(n),diffusion,930/780,45/30,AlOx/SiNx,ALD/PECVD,recombination,ITO,40,sputtering,Not clear,,,,Yes,,1050,Oxide,HF,SiNx:H,Yes,PECVD,Ag/al, Cr/Pd/Ag/Ag/Al,0,100/800,,evaporation,Not clear,Not clear,,,n-i-p,TiO2,Spiro-OMeTAD,,-,-,1,MoOx,IZO/Au,Au,IZO,40,40,,120,Yes,0,0,thermal evaporation,Forward,,1750,17.6,73.8,22.8,17.6,17.8,No,,,,,,,,,
Wu et al.,https://pubs.rsc.org/en/content/articlehtml/2021/xx/c7ee02288c,Homojunction with passivation and local contacts on both sides  - ARF,13/10/2017,2017,homojunction,n-type,FZ,DSP,5,350,Front,Pyramids,Planar,BSG,,HF dip,,Si(p),,diffusion,,Si(n),diffusion,930/780,45/30,AlOx/SiNx,ALD/PECVD,recombination,ITO,40,sputtering,Not clear,,,,Yes,,1050,Oxide,HF,SiNx:H,Yes,PECVD,Ag/al, Cr/Pd/Ag/Ag/Al,0,100/800,,evaporation,Not clear,Not clear,,,n-i-p,TiO2,Spiro-OMeTAD,,-,-,1,MoOx,IZO/Au,Au,IZO,40,40,,120,Yes,0,0,thermal evaporation,Tracking,,,,,22.5,17.6,17.8,No,,,,,,,,,
Sahli et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201701609,Nanocrystalline silicon recombination junction,09/10/2017,2018,SHJ,n-type,FZ,DSP,1 - 5,280,Front,Pyramids,Planar,Dielectric mask - PECVD,KOH,HF dip,,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(p/n),50,PECVD,200,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,TCO/Ag,Not clear,,Not clear,Sputtering,,,,,n-i-p,C60,Spiro-OMeTAD,,-,-,0.25,MoOx,IZO/Au,Au,IZO,100,100,,130,No,0,0,thermal evaporation,Reverse,1.58,1751,16.8,77.5,22.8,17.42,16.21,No,,,,693,74.6,16.45,31.8,No filter. Silicon cell has front IZO 100 nm and Ag evaporated contact,
Sahli et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201701609,Nanocrystalline silicon recombination junction,09/10/2017,2018,SHJ,n-type,FZ,DSP,1 - 5,280,Front,Pyramids,Planar,Dielectric mask - PECVD,KOH,HF dip,,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(p/n),50,PECVD,200,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,TCO/Ag,Not clear,,Not clear,Sputtering,,,,,n-i-p,C60,Spiro-OMeTAD,,-,-,0.25,MoOx,IZO/Au,Au,IZO,100,100,,130,No,0,0,thermal evaporation,Forward,1.58,1751,16.8,77.1,22.7,17.42,16.21,No,,,,693,74.6,16.45,31.8,No filter. Silicon cell has front IZO 100 nm and Ag evaporated contact,
Sahli et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201701610,Nanocrystalline silicon recombination junction,09/10/2017,2018,SHJ,n-type,FZ,DSP,1 - 5,280,Front,Pyramids,Planar,Dielectric mask - PECVD,KOH,HF dip,,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(p/n),50,PECVD,200,"HF dip, DIW dip, N2 drying ",,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,TCO/Ag,Not clear,,Not clear,Sputtering,,,,,n-i-p,C60,Spiro-OMeTAD,,-,-,0.25,MoOx,IZO/Au,Au,IZO,100,100,,130,No,0,0,thermal evaporation,Tracking,1.58,,,,22,17.42,16.21,No,,,,693,74.6,16.45,31.8,No filter. Silicon cell has front IZO 100 nm and Ag evaporated contact,
Sahli et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201701611,Nanocrystalline silicon recombination junction,09/10/2017,2018,SHJ,n-type,FZ,DSP,1 - 5,280,Front,Pyramids,Planar,Dielectric mask - PECVD,KOH,HF dip,,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(p/n),50,PECVD,200,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,TCO/Ag,Not clear,,Not clear,Sputtering,,,,,n-i-p,C60,Spiro-OMeTAD,,-,-,1.43,MoOx,IZO/Au,Au,IZO,100,100,,130,No,0,0,thermal evaporation,Reverse,1.58,1777,16.5,74.4,21.8,,,No,,,,,,,,,
Sahli et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201701612,Nanocrystalline silicon recombination junction,09/10/2017,2018,SHJ,n-type,FZ,DSP,1 - 5,280,Front,Pyramids,Planar,Dielectric mask - PECVD,KOH,HF dip,,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(p/n),50,PECVD,200,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,TCO/Ag,Not clear,,Not clear,Sputtering,,,,,n-i-p,C60,Spiro-OMeTAD,,-,-,1.43,MoOx,IZO/Au,Au,IZO,100,100,,130,No,0,0,thermal evaporation,Forward,1.58,1779,16.5,74.1,21.7,,,No,,,,,,,,,
Sahli et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201701613,Nanocrystalline silicon recombination junction,09/10/2017,2018,SHJ,n-type,FZ,DSP,1 - 5,280,Front,Pyramids,Planar,Dielectric mask - PECVD,KOH,HF dip,,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(p/n),50,PECVD,200,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,TCO/Ag,Not clear,,Not clear,Sputtering,,,,,n-i-p,C60,Spiro-OMeTAD,,-,-,1.43,MoOx,IZO/Au,Au,IZO,100,100,,130,No,0,0,thermal evaporation,Tracking,1.58,,,,21.2,,,No,,,,,,,,,
Sahli et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201701614,Nanocrystalline silicon recombination junction,09/10/2017,2018,SHJ,n-type,FZ,DSP,1 - 5,280,Front,Pyramids,Planar,Dielectric mask - PECVD,KOH,HF dip,,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(p/n),50,PECVD,200,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,TCO/Ag,Not clear,,Not clear,Sputtering,,,,,n-i-p,C60,Spiro-OMeTAD,,-,-,12.96,MoOx,IZO/Ag,Ag,IZO,100,100,,130,Yes,0,0,thermal evaporation,Reverse,1.58,1769,16.5,65.4,19.1,18.4,16.62,No,,,,,,,,,
Sahli et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201701615,Nanocrystalline silicon recombination junction,09/10/2017,2018,SHJ,n-type,FZ,DSP,1 - 5,280,Front,Pyramids,Planar,Dielectric mask - PECVD,KOH,HF dip,,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(p/n),50,PECVD,200,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,TCO/Ag,Not clear,,Not clear,Sputtering,,,,,n-i-p,C60,Spiro-OMeTAD,,-,-,12.96,MoOx,IZO/Ag,Ag,IZO,100,100,,130,Yes,0,0,thermal evaporation,Forward,1.58,1756,16.5,58.2,16.8,18.4,16.62,No,,,,,,,,,
Sahli et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201701616,Nanocrystalline silicon recombination junction,09/10/2017,2018,SHJ,n-type,FZ,DSP,1 - 5,280,Front,Pyramids,Planar,Dielectric mask - PECVD,KOH,HF dip,,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(p/n),50,PECVD,200,,,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,TCO/Ag,Not clear,,Not clear,Sputtering,,,,,n-i-p,C60,Spiro-OMeTAD,,-,-,12.96,MoOx,IZO/Ag,Ag,IZO,100,100,,130,Yes,0,0,thermal evaporation,Tracking,1.58,,,,18,18.4,16.62,No,,,,,,,,,
Kanda et al.,https://www.sciencedirect.com/science/article/pii/S2468606917301776,Mechanical 2T,06/03/2018,2018,homojunction,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO/IZO,121/150,,,,,,,,,,,,,,Al,Al,0,,,,,,,,n-i-p,,,,-,-,0.09,None,,,FTO,Not clear,Not clear,,,,,,,Reverse,,,,,15.5,,,No,,,,,,,,,
Kanda et al.,https://www.sciencedirect.com/science/article/pii/S2468606917301776,Mechanical 2T,06/03/2018,2018,homojunction,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO/IZO,121/150,,,,,,,,,,,,,,Al,Al,0,,,,,,,,n-i-p,,,,-,-,0.09,None,,,FTO,Not clear,Not clear,,,,,,,Reverse,,,,,13.9,,,No,,,,,,,,,
Zhu et al.,https://www.sciencedirect.com/science/article/pii/S2211285517308182,Transparent electrode optimisation,28/12/2018,2018,SHJ,n-type,Not clear,DSP,Not clear,280,Front,Planar,Planar,Not clear,Not clear,Not clear,Not clear,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,80,thermal deposition,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,Not clear,Not clear,600,Before,thermal deposition,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,1,MoOx,ITO/Au,Au,ITO,120,120,,Not clear,No,0,0,Not clear,Reverse,,1670,14.74,67,16.52,,,No,,,,670,68,16.1,35.18,,
Zhu et al.,https://www.sciencedirect.com/science/article/pii/S2211285517308182,Transparent electrode optimisation,28/12/2018,2018,SHJ,n-type,Not clear,DSP,Not clear,280,Front,Planar,Planar,Not clear,Not clear,Not clear,Not clear,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,80,thermal deposition,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,Not clear,Not clear,600,Before,thermal deposition,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,1,MoOx,ITO/Au,Au,ITO,120,120,,Not clear,No,0,0,Not clear,Forward,,1670,14.73,68,16.86,,,No,,,,670,68,16.1,35.18,,
Zhu et al.,https://www.sciencedirect.com/science/article/pii/S2211285517308182,Transparent electrode optimisation,28/12/2018,2018,SHJ,n-type,Not clear,DSP,Not clear,280,Front,Planar,Planar,Not clear,Not clear,Not clear,Not clear,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,80,thermal deposition,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,Not clear,Not clear,600,Before,thermal deposition,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.13,MoOx,ITO/Au,Au,ITO,120,120,,Not clear,No,0,0,Not clear,Reverse,,1710,15.49,71,18.81,15.49,15.11,No,,,,670,68,16.1,35.18,,
Zhu et al.,https://www.sciencedirect.com/science/article/pii/S2211285517308182,Transparent electrode optimisation,28/12/2018,2018,SHJ,n-type,Not clear,DSP,Not clear,280,Front,Planar,Planar,Not clear,Not clear,Not clear,Not clear,a-Si:H(p),,PECVD,,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,80,thermal deposition,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,Not clear,Not clear,600,Before,thermal deposition,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,0.13,MoOx,ITO/Au,Au,ITO,120,120,,Not clear,No,0,0,Not clear,Forward,,1700,15.48,70,18.42,15.49,15.11,No,,,,670,68,16.1,35.18,,
Hoye et al.,https://ieeexplore.ieee.org/abstract/document/8338389/,First p-type silicon monolithic tandem solar cell,04/07/2018,2018,homojunction,p-type,Not clear,SSP,Not clear,Not clear,Front,Textured,Planar,,,,,Si(n),Not clear,diffusion,Not clear,Si(p),annealing,900,30,None,None,recombination,ITO,30,sputtering,None,,,HF dip,No,,,,,None,None,None,Al,Al,0,1000,Before,Sputtering,900,30 seconds,,,p-i-n,LiF/C60,NiOx,Laser - not clear,1.96,1.21,1,SnO2/ZTO,ITO,None,ITO,150,150,DC sputtering,None,No,None,None,None,Forward,Not clear,1430,15.3,75,16.2,12.4,18,No,,,,,,,,,
Hoye et al.,https://ieeexplore.ieee.org/abstract/document/8338389/,First p-type silicon monolithic tandem solar cell,04/07/2018,2018,homojunction,p-type,Not clear,SSP,Not clear,Not clear,Front,Textured,Planar,,,,,Si(n),Not clear,diffusion,Not clear,Si(p),annealing,900,30,None,None,recombination,ITO,30,sputtering,None,,,HF dip,No,,,,,None,None,None,Al,Al,0,1000,Before,Sputtering,900,30 seconds,,,p-i-n,LiF/C60,NiOx,Laser - not clear,1.96,1.21,1,SnO2/ZTO,ITO,None,ITO,150,150,DC sputtering,None,No,None,None,None,Reverse,Not clear,1430,15.3,75,16.2,12.4,18,No,,,,,,,,,
Chiang et al,https://iopscience.iop.org/article/10.1088/1361-6463/aad71c#daad71cs3,Mechanical 2T,8/23/2018,2018,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,200,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,n-i-p,,,,-,-,1,None,,,FTO,Not clear,Not clear,,,,,,,Forward,,,,,18.99,,,No,,,,,,,,,
Chiang et al,https://iopscience.iop.org/article/10.1088/1361-6463/aad71c#daad71cs3,Mechanical 2T,8/23/2018,2018,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,200,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,n-i-p,,,,-,-,1,None,,,FTO,Not clear,Not clear,,,,,,,Reverse,,,,,19.51,,,No,,,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2018/ee/c8ee00689j,First inter-layer free monolithic tandem - ARF,25/06/2018,2018,homojunction,n-type,FZ,DSP,1 - 5,300,Front,Planar,Planar,SiO2 - Thermal,None,Not clear,Not clear,Si(p),15.1,diffusion,130,Si(n),diffusion,Not clear,Not clear,None,None,inter-layer free,None,None,None,None,None,None,UV-Ozone,Yes,,,,,SiO2,Yes,Oxidation,Ti/Pd/Ag,Ti/Pd/Ag,0,Not clear,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,4,MoOx,ITO/Ag,Ag,ITO,100,100,,200,Yes,Not clear,Not clear,thermal evaporation,Reverse,,1676,16.1,78,21,16,16.3,No,,,,634,78,11.1,22.5,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2018/ee/c8ee00689j,First inter-layer free monolithic tandem - ARF,25/06/2018,2018,homojunction,n-type,FZ,DSP,1 - 5,300,Front,Planar,Planar,SiO2 - Thermal,None,Not clear,Not clear,Si(p),15.1,diffusion,130,Si(n),diffusion,Not clear,Not clear,None,None,inter-layer free,None,None,None,None,None,None,UV-Ozone,Yes,,,,,SiO2,Yes,Oxidation,Ti/Pd/Ag,Ti/Pd/Ag,0,Not clear,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,4,MoOx,ITO/Ag,Ag,ITO,100,100,,200,Yes,Not clear,Not clear,thermal evaporation,Forward,,1688,16.2,70,19.1,16,16.3,No,,,,634,78,11.1,22.5,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2018/ee/c8ee00689j,First inter-layer free monolithic tandem - ARF,25/06/2018,2018,homojunction,n-type,FZ,DSP,1 - 5,300,Front,Planar,Planar,SiO2 - Thermal,None,Not clear,Not clear,Si(p),15.1,diffusion,130,Si(n),diffusion,Not clear,Not clear,None,None,inter-layer free,None,None,None,None,None,None,UV-Ozone,Yes,,,,,SiO2,Yes,Oxidation,Ti/Pd/Ag,Ti/Pd/Ag,0,Not clear,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,4,MoOx,ITO/Ag,Ag,ITO,100,100,,200,Yes,Not clear,Not clear,thermal evaporation,Tracking,,,,,20.5,16,16.3,No,,,,634,78,11.1,22.5,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2018/ee/c8ee00689j,First inter-layer free monolithic tandem,25/06/2018,2018,homojunction,n-type,FZ,DSP,1 - 5,300,Front,Planar,Planar,SiO2 - Thermal,None,Not clear,Not clear,Si(p),15.1,diffusion,130,Si(n),diffusion,Not clear,Not clear,None,None,inter-layer free,None,None,None,None,None,None,UV-Ozone,Yes,,,,,SiO2,Yes,Oxidation,Ti/Pd/Ag,Ti/Pd/Ag,0,Not clear,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,4,MoOx,ITO/Ag,Ag,ITO,100,100,,200,Yes,Not clear,Not clear,thermal evaporation,Reverse ,,1671,14.1,78,18.3,,,No,,,,634,78,11.1,22.5,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2018/ee/c8ee00689j,First inter-layer free monolithic tandem - ARF,25/06/2018,2018,homojunction,n-type,FZ,DSP,1 - 5,300,Front,Planar,Planar,SiO2 - Thermal,None,Not clear,Not clear,Si(p),15.1,diffusion,130,Si(n),diffusion,Not clear,Not clear,None,None,inter-layer free,None,None,None,None,None,None,UV-Ozone,Yes,,,,,SiO2,Yes,Oxidation,Ti/Pd/Ag,Ti/Pd/Ag,0,Not clear,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,16,MoOx,ITO/Ag,Ag,ITO,100,100,,200,Yes,Not clear,Not clear,thermal evaporation,Reverse,,1658,15.5,68,17.6,15.5,15.7,No,,,,634,78,11.1,22.5,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2018/ee/c8ee00689j,First inter-layer free monolithic tandem - ARF,25/06/2018,2018,homojunction,n-type,FZ,DSP,1 - 5,300,Front,Planar,Planar,SiO2 - Thermal,None,Not clear,Not clear,Si(p),15.1,diffusion,130,Si(n),diffusion,Not clear,Not clear,None,None,inter-layer free,None,None,None,None,None,None,UV-Ozone,Yes,,,,,SiO2,Yes,Oxidation,Ti/Pd/Ag,Ti/Pd/Ag,0,Not clear,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,16,MoOx,ITO/Ag,Ag,ITO,100,100,,200,Yes,Not clear,Not clear,thermal evaporation,Forward,,1659,15.6,61,15.6,15.5,15.7,No,,,,634,78,11.1,22.5,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2018/ee/c8ee00689j,First inter-layer free monolithic tandem - ARF,25/06/2018,2018,homojunction,n-type,FZ,DSP,1 - 5,300,Front,Planar,Planar,SiO2 - Thermal,None,Not clear,Not clear,Si(p),15.1,diffusion,130,Si(n),diffusion,Not clear,Not clear,None,None,inter-layer free,None,None,None,None,None,None,UV-Ozone,Yes,,,,,SiO2,Yes,Oxidation,Ti/Pd/Ag,Ti/Pd/Ag,0,Not clear,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,16,MoOx,ITO/Ag,Ag,ITO,100,100,,200,Yes,Not clear,Not clear,thermal evaporation,Tracking,,,,,17.1,16,16.3,No,,,,634,78,11.1,22.5,,
Sahli et al.,https://www.nature.com/articles/s41563-018-0115-4,Fully textured monolithic tandem,11/06/2018,2018,heterojunction,n-type,FZ,Textured,1 - 5,260,Rear,Textured,Textured,,,,Not clear,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(n/p),Not clear,PECVD,< 200,None,None,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,Not clear,Before,Sputtering,Not clear,Not clear,,,p-i-n,C60,Spiro-TTB,Laser - not clear,6.25,1.81,1.42,SnO2,IZO/Ag,Ag,IZO,110,110,DC sputtering,120,Yes,Not clear,Not clear,evaporation,Reverse,1.6,1788,19.5,73.1,25.5,20.3,20.1,Yes,,,,,,,,,
Sahli et al.,https://www.nature.com/articles/s41563-018-0115-5,Fully textured monolithic tandem,11/06/2018,2018,heterojunction,n-type,FZ,Textured,1 - 5,260,Rear,Textured,Textured,,,,Not clear,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(n/p),Not clear,PECVD,< 200,None,None,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,Not clear,Before,Sputtering,Not clear,Not clear,,,p-i-n,C60,Spiro-TTB,Laser - not clear,6.25,1.81,1.42,SnO2,IZO/Ag,Ag,IZO,110,110,DC sputtering,120,Yes,Not clear,Not clear,evaporation,Forward,1.6,1786,19.5,69.1,24.09,20.3,20.1,Yes,,,,,,,,,
Sahli et al.,https://www.nature.com/articles/s41563-018-0115-6,Fully textured monolithic tandem,11/06/2018,2018,heterojunction,n-type,FZ,Textured,1 - 5,260,Rear,Textured,Textured,,,,Not clear,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,,,a-Si:H(i),PECVD,tunneling,nc-Si:H(n/p),Not clear,PECVD,< 200,None,None,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,Not clear,Before,Sputtering,Not clear,Not clear,,,p-i-n,C60,Spiro-TTB,Laser - not clear,6.25,1.81,1.42,SnO2,IZO/Ag,Ag,IZO,110,110,DC sputtering,120,Yes,Not clear,Not clear,evaporation,Tracking,1.6,,,,25.24,20.3,20.1,Yes,,,,,,,,,
Zheng et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.8b01382,Large-area inter-layer free monolithic,25/06/2018,2018,homojunction,n-type,FZ,DSP,1 - 5,300,Front,Planar,Planar,SiO2 - Thermal,None,Not clear,Not clear,Si(p),15.1,diffusion,130,Si(n),diffusion,Not clear,Not clear,None,None,inter-layer free,None,None,None,None,None,None,UV-Ozone,Yes,,,,,SiO2,Yes,Oxidation,Ti/Pd/Ag,Ti/Pd/Ag,0,Not clear,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,16,MoOx,ITO/Ag,Ag,ITO,100,100,,200,Yes,Not clear,Not clear,thermal evaporation,Forward,,1659,15.6,61,19.5,15.5,15.7,No,,,,634,78,11.1,22.5,,
Zheng et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.8b01382,Large-area inter-layer free monolithic,25/06/2018,2018,homojunction,n-type,FZ,DSP,1 - 5,300,Front,Planar,Planar,SiO2 - Thermal,None,Not clear,Not clear,Si(p),15.1,diffusion,130,Si(n),diffusion,Not clear,Not clear,None,None,inter-layer free,None,None,None,None,None,None,UV-Ozone,Yes,,,,,SiO2,Yes,Oxidation,Ti/Pd/Ag,Ti/Pd/Ag,0,Not clear,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,,-,-,16,MoOx,ITO/Ag,Ag,ITO,100,100,,200,Yes,Not clear,Not clear,thermal evaporation,Reverse,,1659,15.6,61,20,15.5,15.7,No,,,,634,78,11.1,22.5,,
